"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"Body",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006721","Body","","","","","","","","",""
2,"Circulatory",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001692","Circulatory","","","","","","","","",""
3,"Heart",255,0,229,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006428","Heart","","","","","","","","",""
4,"Blood Cell",255,0,229,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0004742","Blood Cell","","","","","","","","",""
5,"Digestive",255,255,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_3000050","braincase and auditory apparatus","Uberon","http://purl.obolibrary.org/obo/UBERON_0001693","Digestive","","","","","","","","",""
6,"Esophagus",0,204,0,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0010750","Esophagus","","","","","","","","",""
7,"Food Channel",204,255,153,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002229","Food Channel","","","","","","","","",""
8,"Cecum",95,255,95,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001683","Cecum","","","","","","","","",""
9,"Epithelial Cecum",0,95,24,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001680","Epithelial Cecum","","","","","","","","",""
10,"Microvilli Cecum",255,255,102,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0010364","dermal skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0002397","Microvilli Cecum","","","","","","","","",""
